osm_id,osm_type,name,category,rating
304597458,way,Namekagon River,river,5
479147570,way,Montello River,river,5
235475343,node,CR V63 & IL 134,intersection,3
231281486,node,CTH F & CTH F;CTH KD,intersection,3
616617879,node,CH 54 & US 53,intersection,3
9928068021,node,I 35 & I-35,intersection,5
232700859,node,WI 20 & WI 20;CTH N,intersection,3
3774858,relation,Nepco Lake,lake_or_pond,5
4057912,relation,Mill Pond,lake_or_pond,5
4057917,relation,Rome Pond,lake_or_pond,5
6416924,relation,South Lake,lake_or_pond,2
6767901,relation,Twin Lakes,lake_or_pond,2
10856297,relation,Kilby Lake,lake_or_pond,2
353870611,node,Big Falls Flowage,lake_or_pond,4
3199668805,node,Tagalder Bay,lake_or_pond,5
4639063671,node,Ole Haugsrud Stadium,stadium,2
59499128,way,Gilbert Lake,lake_or_pond,2
59505258,way,Metzger Lake,lake_or_pond,1
59547996,way,Goose Lake,lake_or_pond,1
1549528379,way,Rome Pond 114,lake_or_pond,5
300734,relation,Big Falls Flowage 1894,lake_or_pond,5
7291421,relation,Lost Lake,lake_or_pond,5
3273980896,node,US 2 & US 2;US 53 & US 53,intersection,3
205796194,way,Whitehall Subdivision,railroad,2
2157414902,node,WI 13 & WI 13;WI 54,intersection,3
1970484606,node,CH 6 & US 53;MN 194,intersection,4
1970484584,node,CH 6 & CH 91,intersection,3
9WI8,faa_airport,Fletcher (9WI8),airport,1
53293644,node,WI 186 & WI 186;CTH N,intersection,1
151331909,node,Superior,town,5
153420031,node,Montello,town,1
153546173,node,Round Lake,town,5
153566547,node,Round Lake Beach,town,5
59548424,way,Bullhead Lake,lake_or_pond,5
59551399,way,Milny Lake,lake_or_pond,5
315566336,way,nan,railroad,5
304602632,way,Namekagon River,river,5
304627942,way,Wisconsin River,river,5
307499479,way,Fourmile Creek,river,5
235262686,node,IL 120 & IL 134,intersection,3
1427242129,way,Superior Choice Credit Union Stadium,stadium,2
1451367158,way,2 Reservoir,lake_or_pond,1
366718925,way,Duluth Missabe and Iron Range,railroad,5
2748696055,node,WI 186 & WI 186;CTH N,intersection,4
232358781,node,CTH B & CTH NN,intersection,3
188188614,node,CH 32 & CH 91,intersection,3
597488749,node,CTH B & US 53,intersection,5
188105711,node,CH 48 & CH 9,intersection,3
213950623,way,CN Superior Subdivision,railroad,4
205008522,way,Wisconsin & Southern Railroad,railroad,4
1544300813,way,nan,river,4
1337916206,node,I 535 & I 535;US 53 & US 53 & WI 35,intersection,3
235311776,node,IL 132 & IL 59,intersection,3
425637890,way,Montello River,river,3
ISW,faa_airport,Alexander Fld South Wood County (ISW),airport,5
53952814,node,CTH B;CTH J & CTH J,intersection,4
10484438,relation,Willow Pond,lake_or_pond,2
1869500619,cluster,Wind Farm (61 turbines),wind_farm,5
235478832,node,IL 60 & IL 60;IL 83 & IL 83,intersection,5
235373680,node,CR A22 & CR V63,intersection,3
236246540,node,IL 173 & V44,intersection,3
232322074,node,US 8 & US 8;CTH B,intersection,3
475086638,way,Round Lake Marsh,lake_or_pond,3
430826401,way,North Lake,lake_or_pond,3
1237546887,way,McMillan Reservoir,lake_or_pond,3
1373926852,way,Long Beach Gardens Pond,lake_or_pond,5
1418548343,way,Page Street Pond,lake_or_pond,2
178013374,way,Watertown Subdivision,railroad,4
205353008,way,Sunfish Lake,lake_or_pond,4
205356151,way,Blueberry Lake,lake_or_pond,4
208442375,way,Twin Ponds,lake_or_pond,3
229121284,way,Lake Lure,lake_or_pond,3
254297090,way,Mud Lake,lake_or_pond,3
254297093,way,Turner Lake,lake_or_pond,3
355592055,way,Richter Lake,lake_or_pond,2
3076256028,node,WI 13 & WI 73,intersection,5
53819674,node,CTH P & WI 146,intersection,3
235442354,node,IL 176 & IL 60;IL 83,intersection,5
232692866,node,WI 11 & WI 120,intersection,5
21462204,way,CN Superior Subdivision,railroad,4
53964447,node,WI 22 & WI 22;WI 23;CTH C & WI 23;CTH C,intersection,5
315566729,way,Clyman Subdivision,railroad,5
1451367561,way,Pabst Lake 5,lake_or_pond,1
359588410,way,Rubber Duck Pond,lake_or_pond,2
10481065,relation,Swift Lake,lake_or_pond,2
1501076078,way,Fox River,river,5
21469236,way,Wisconsin Central Railroad,railroad,4
34897044,way,North Fork Popple River,river,1
0WI4,faa_airport,Snow Crest Ranch (0WI4),airport,4
21485757,way,UP Adams Subdivision,railroad,4
